Destination Airport,Lat,Long,name
CNY,38.76,-109.75,Canyonlands Field
COD,44.52,-109.02,Yellowstone Regional Airport
COE,47.77,-116.82,Coeur D'Alene - Pappy Boyington Field
COF,28.23,-80.61,Patrick Air Force Base
COI,28.34,-80.69,Merritt Island Airport
COM,31.84,-99.40,Coleman Municipal Airport
CON,43.20,-71.50,Concord Municipal Airport
COS,38.81,-104.70,City of Colorado Springs Municipal Airport
COT,28.46,-99.22,Cotulla-La Salle County Airport
COU,38.82,-92.22,Columbia Regional Airport
CPM,33.89,-118.24,Compton Woodley Airport
CPR,42.91,-106.46,Casper-Natrona County International Airport
CPS,38.57,-90.16,St Louis Downtown Airport
HCW,34.71,-79.96,Cheraw Municipal Airport/Lynch Bellinger Field
KCR,63.57,-155.99,Colorado Creek Airport
CRE,33.81,-78.72,Grand Strand Airport
CRG,30.34,-81.51,Jacksonville Executive at Craig Airport
CRO,36.10,-119.60,Corcoran Airport
CRP,27.77,-97.50,Corpus Christi International Airport
CLD,33.13,-117.28,Mc Clellan-Palomar Airport
CRS,32.03,-96.40,C David Campbell Field Corsicana Municipal Airport
CRT,33.18,-91.88,Z M Jack Stell Field
CRW,38.37,-81.59,Yeager Airport
CRX,34.92,-88.60,Roscoe Turner Airport
CSG,32.52,-84.94,Columbus Metropolitan Airport
CSM,35.34,-99.20,Clinton Sherman Airport
CSQ,41.02,-94.36,Creston Municipal Airport
CSV,35.95,-85.08,Crossville Memorial Whitson Field
CTB,48.61,-112.38,Cut Bank International Airport
CTY,29.64,-83.10,Cross City Airport
CTZ,34.98,-78.36,Sampson County Airport
CUB,33.97,-81.00,Jim Hamilton L.B. Owens Airport
CUH,35.95,-96.77,Cushing Municipal Airport
CVG,39.05,-84.67,Cincinnati Northern Kentucky International Airport
CKK,36.26,-91.56,Sharp County Regional Airport
CVN,34.43,-103.08,Clovis Municipal Airport
CVO,44.50,-123.29,Corvallis Municipal Airport
CVS,34.38,-103.32,Cannon Air Force Base
CWA,44.78,-89.67,Central Wisconsin Airport
KIP,33.86,-98.49,Kickapoo Downtown Airport
CWF,30.21,-93.14,Chennault International Airport
CWI,41.83,-90.33,Clinton Municipal Airport
CXL,32.67,-115.51,Calexico International Airport
CXO,30.35,-95.41,Conroe-North Houston Regional Airport
CSN,39.19,-119.73,Carson Airport
HAR,40.22,-76.85,Capital City Airport
CYS,41.16,-104.81,Cheyenne Regional Jerry Olson Field
CZT,28.52,-99.82,Dimmit County Airport
VEX,48.38,-102.90,Tioga Municipal Airport
DAA,38.72,-77.18,Davison Army Air Field
DAB,29.18,-81.06,Daytona Beach International Airport
DAG,34.85,-116.79,Barstow Daggett Airport
DAL,32.85,-96.85,Dallas Love Field
DAN,36.57,-79.34,Danville Regional Airport
DAY,39.90,-84.22,James M Cox Dayton International Airport
DBN,32.56,-82.99,W H 'Bud' Barron Airport
